incident_id,No,Type,Status,Age Group,Gender
450290,0,Victim,Injured,Teen 12-17,Male
450290,1,Subject-Suspect,Unharmed,Teen 12-17,Male
449144,0,Victim,Killed,Adult 18+,Male
449144,1,Subject-Suspect,Unharmed,Adult 18+,Male
449748,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
450747,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
450747,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
450747,2,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449229,0,Victim,Injured,Adult 18+,Male
449229,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
626359,0,Victim,Unharmed,Adult 18+,Male
626359,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
448960,0,Victim,Injured,Adult 18+,Male
448960,1,Victim,Injured,Adult 18+,Male
448923,0,Victim,Injured,Teen 12-17,Male
448923,1,Subject-Suspect,"Unharmed, Arrested",Teen 12-17,Male
453173,0,Victim,Injured,Adult 18+,Male
449426,0,Victim,Unharmed,Adult 18+,Female
449426,1,Victim,Unharmed,Adult 18+,Male
449426,2,Subject-Suspect,Unharmed,Adult 18+,Male
449426,3,Subject-Suspect,Unharmed,Adult 18+,Male
449426,4,Subject-Suspect,Unharmed,Adult 18+,Male
448832,0,Victim,Injured,Adult 18+,
448832,1,Subject-Suspect,Killed,Adult 18+,Male
450529,0,Subject-Suspect,Killed,Adult 18+,Female
448771,0,Victim,Unharmed,Adult 18+,Male
448771,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
448771,2,Subject-Suspect,Unharmed,Teen 12-17,Male
449248,0,Victim,Injured,Teen 12-17,Female
449248,1,Victim,Injured,Teen 12-17,Male
449253,0,Victim,Injured,Teen 12-17,Male
449266,0,Victim,Injured,Teen 12-17,Male
449266,1,Victim,Injured,Teen 12-17,Male
449266,2,Victim,Injured,Adult 18+,Male
449266,3,Subject-Suspect,Unharmed,Adult 18+,
449277,0,Victim,Injured,Adult 18+,Male
449274,0,Subject-Suspect,Killed,Adult 18+,Male
449274,1,Victim,Unharmed,Adult 18+,Male
448746,0,Victim,Killed,Adult 18+,Male
448746,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
448746,2,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
450042,0,Victim,Injured,Adult 18+,Male
450042,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,
449080,0,Victim,Injured,Adult 18+,Female
449080,1,Subject-Suspect,Unharmed,Adult 18+,Male
448916,0,Victim,Injured,,Female
448916,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
450074,0,Subject-Suspect,Injured,Adult 18+,Male
448765,0,Victim,Injured,Adult 18+,Male
448765,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449346,0,Victim,Killed,Adult 18+,Male
448768,0,Victim,Injured,Adult 18+,Male
448768,1,Subject-Suspect,Unharmed,Adult 18+,Female
770144,0,Subject-Suspect,Arrested,Adult 18+,Male
449361,0,Subject-Suspect,Arrested,Adult 18+,Male
449375,0,Victim,Injured,Adult 18+,Male
448744,0,Subject-Suspect,Killed,Adult 18+,Male
449384,0,Victim,Injured,Adult 18+,Male
449384,1,Subject-Suspect,Unharmed,Adult 18+,Male
449394,0,Victim,Injured,Adult 18+,Male
449697,0,Victim,Killed,Adult 18+,Male
449697,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Female
449399,0,Victim,Injured,Adult 18+,Male
449399,1,Victim,Injured,Adult 18+,Male
